ID_DAY,ID_HOLIDAY_TYP,DS_HOLIDAY_TYP
2013-07-12,51,Vacances scolaires
2019-02-22,55,Vacances scolaires zone A
2013-05-04,58,Vacances scolaires zone A
2016-10-12,22,F�te nationale Espagne
2013-07-29,51,Vacances scolaires
2013-05-01,4,F�te du travail
2010-04-27,60,Vacances scolaires zone C
2019-07-28,51,Vacances scolaires
2012-02-27,57,Vacances scolaires zone C
2016-07-07,51,Vacances scolaires
2017-10-25,52,Vacances scolaires
2017-07-24,51,Vacances scolaires
2012-07-22,51,Vacances scolaires
2017-04-01,60,Vacances scolaires zone C
2016-07-19,51,Vacances scolaires
2012-03-02,57,Vacances scolaires zone C
2010-08-07,51,Vacances scolaires
2015-12-20,53,Vacances scolaires
2018-10-28,52,Vacances scolaires
2013-05-10,60,Vacances scolaires zone C
2015-07-31,51,Vacances scolaires
2015-12-06,23,F�te constitution Espagne
2018-04-25,59,Vacances scolaires zone B
2012-08-31,51,Vacances scolaires
2009-07-10,51,Vacances scolaires
2018-07-26,51,Vacances scolaires
2018-12-29,53,Vacances scolaires
2017-10-21,52,Vacances scolaires
2015-12-26,16,26DEC
2018-02-20,55,Vacances scolaires zone A
2013-07-30,51,Vacances scolaires
2012-08-02,51,Vacances scolaires
2019-04-25,58,Vacances scolaires zone A
2010-07-24,51,Vacances scolaires
2009-04-10,58,Vacances scolaires zone A
2010-04-06,59,Vacances scolaires zone B
2014-01-06,25,Epiphanie Espagne
2012-08-18,51,Vacances scolaires
2010-08-18,51,Vacances scolaires
2017-12-24,53,Vacances scolaires
2012-08-14,51,Vacances scolaires
2012-02-28,56,Vacances scolaires zone B
2010-01-01,1,Nouvel An
2012-03-11,56,Vacances scolaires zone B
2014-09-01,51,Vacances scolaires
2016-02-16,56,Vacances scolaires zone B
2018-07-23,51,Vacances scolaires
2016-07-16,51,Vacances scolaires
2019-08-19,51,Vacances scolaires
2010-12-08,21,Immac Concep
2018-02-11,55,Vacances scolaires zone A
2013-10-19,52,Vacances scolaires
2011-04-14,60,Vacances scolaires zone C
2013-02-26,56,Vacances scolaires zone B
2014-05-06,58,Vacances scolaires zone A
2013-08-10,51,Vacances scolaires
2017-03-03,55,Vacances scolaires zone A
2013-04-24,58,Vacances scolaires zone A
2009-04-22,59,Vacances scolaires zone B
2017-02-18,55,Vacances scolaires zone A
2012-07-11,51,Vacances scolaires
2009-12-19,53,Vacances scolaires
2017-02-26,55,Vacances scolaires zone A
2010-12-18,53,Vacances scolaires
2017-03-01,55,Vacances scolaires zone A
2019-08-28,51,Vacances scolaires
2018-05-03,59,Vacances scolaires zone B
2010-08-06,51,Vacances scolaires
2010-04-29,60,Vacances scolaires zone C
2010-07-04,51,Vacances scolaires
2009-08-08,51,Vacances scolaires
2014-04-15,60,Vacances scolaires zone C
2015-12-25,13,No�l
2015-08-26,51,Vacances scolaires
2016-08-23,51,Vacances scolaires
2019-03-05,57,Vacances scolaires zone C
2016-04-07,59,Vacances scolaires zone B
2017-06-23,18,F�te nationale Luxembourg
2016-08-01,51,Vacances scolaires
2018-07-08,51,Vacances scolaires
2013-07-16,51,Vacances scolaires
2016-01-01,53,Vacances scolaires
2010-04-12,58,Vacances scolaires zone A
2011-10-29,52,Vacances scolaires
2010-08-27,51,Vacances scolaires
2009-11-02,52,Vacances scolaires
2017-04-15,59,Vacances scolaires zone B
2009-02-22,56,Vacances scolaires zone B
2018-08-11,51,Vacances scolaires
2013-09-01,51,Vacances scolaires
2011-07-08,51,Vacances scolaires
2012-07-21,17,F�te nationale Belgique
2017-04-09,60,Vacances scolaires zone C
2013-07-27,51,Vacances scolaires
2011-07-12,51,Vacances scolaires
2014-07-18,51,Vacances scolaires
2010-07-30,51,Vacances scolaires
2013-03-10,57,Vacances scolaires zone C
2013-10-30,52,Vacances scolaires
2010-11-04,20,Anniv vic1erG Italie
2012-04-19,58,Vacances scolaires zone A
2016-07-21,17,F�te nationale Belgique
2018-03-03,56,Vacances scolaires zone B
2015-08-25,51,Vacances scolaires
2013-04-30,58,Vacances scolaires zone A
2014-07-23,51,Vacances scolaires
2011-07-03,51,Vacances scolaires
2019-02-19,55,Vacances scolaires zone A
2018-07-14,9,F�te nationale
2009-05-01,4,F�te du travail
2011-04-09,60,Vacances scolaires zone C
2019-03-06,57,Vacances scolaires zone C
2011-07-16,51,Vacances scolaires
2013-08-07,51,Vacances scolaires
2019-03-02,55,Vacances scolaires zone A
2014-08-15,10,Assomption
2017-11-04,20,Anniv vic1erG Italie
2010-03-07,57,Vacances scolaires zone C
2014-08-29,51,Vacances scolaires
2016-04-21,60,Vacances scolaires zone C
2014-08-23,51,Vacances scolaires
2015-12-21,53,Vacances scolaires
2018-04-11,58,Vacances scolaires zone A
2011-12-18,53,Vacances scolaires
2014-12-26,16,26DEC
2018-04-08,58,Vacances scolaires zone A
2011-08-12,51,Vacances scolaires
2016-02-10,56,Vacances scolaires zone B
2019-08-02,51,Vacances scolaires
2017-02-23,55,Vacances scolaires zone A
2009-04-05,58,Vacances scolaires zone A
2018-05-01,59,Vacances scolaires zone B
2012-04-28,60,Vacances scolaires zone C
2017-07-15,51,Vacances scolaires
2016-04-19,60,Vacances scolaires zone C
2016-10-19,52,Vacances scolaires
2011-05-05,58,Vacances scolaires zone A
2014-06-23,18,F�te nationale Luxembourg
2010-11-01,11,Toussaint
2014-07-20,51,Vacances scolaires
2018-09-02,51,Vacances scolaires
2015-10-28,52,Vacances scolaires
2016-08-16,51,Vacances scolaires
2014-10-12,22,F�te nationale Espagne
2016-12-08,21,Immac Concep
2019-04-16,58,Vacances scolaires zone A
2016-08-05,51,Vacances scolaires
2017-08-07,51,Vacances scolaires
2012-04-16,58,Vacances scolaires zone A
2010-10-27,52,Vacances scolaires
2016-08-29,51,Vacances scolaires
2016-02-13,56,Vacances scolaires zone B
2011-04-26,59,Vacances scolaires zone B
2009-07-18,51,Vacances scolaires
2012-12-25,13,No�l
2013-08-19,51,Vacances scolaires
2016-08-25,51,Vacances scolaires
2017-08-04,51,Vacances scolaires
2009-07-30,51,Vacances scolaires
2009-02-25,57,Vacances scolaires zone C
2010-05-30,8,F�te des m�res
2019-04-10,59,Vacances scolaires zone B
2009-05-08,5,Victoire 1945
2011-06-23,18,F�te nationale Luxembourg
2012-04-08,58,Vacances scolaires zone A
2009-12-31,53,Vacances scolaires
2017-10-24,52,Vacances scolaires
2013-04-13,59,Vacances scolaires zone B
2017-04-23,58,Vacances scolaires zone A
2016-07-22,51,Vacances scolaires
2017-02-21,56,Vacances scolaires zone B
2009-07-08,51,Vacances scolaires
2019-08-31,51,Vacances scolaires
2017-07-09,51,Vacances scolaires
2010-05-01,4,F�te du travail
2016-12-24,53,Vacances scolaires
2009-07-19,51,Vacances scolaires
2015-08-28,51,Vacances scolaires
2009-04-30,59,Vacances scolaires zone B
2012-12-22,53,Vacances scolaires
2009-08-11,51,Vacances scolaires
2018-05-08,5,Victoire 1945
2011-04-20,59,Vacances scolaires zone B
2013-04-26,58,Vacances scolaires zone A
2014-02-19,57,Vacances scolaires zone C
2017-08-19,51,Vacances scolaires
2018-07-11,51,Vacances scolaires
2018-12-06,23,F�te constitution Espagne
2019-02-23,55,Vacances scolaires zone A
2014-03-09,55,Vacances scolaires zone A
2018-07-17,51,Vacances scolaires
2014-07-29,51,Vacances scolaires
2017-04-24,58,Vacances scolaires zone A
2015-04-20,60,Vacances scolaires zone C
2019-04-28,58,Vacances scolaires zone A
2010-04-24,60,Vacances scolaires zone C
2009-03-05,56,Vacances scolaires zone B
2019-07-25,51,Vacances scolaires
2013-12-22,53,Vacances scolaires
2017-12-30,53,Vacances scolaires
2011-07-26,51,Vacances scolaires
2014-08-18,51,Vacances scolaires
2010-04-04,2,P�ques
2010-07-07,51,Vacances scolaires
2013-06-16,7,F�te des p�res
2009-08-25,51,Vacances scolaires
2015-08-23,51,Vacances scolaires
2017-07-27,51,Vacances scolaires
2009-10-31,52,Vacances scolaires
2012-11-11,12,Armistice 1918
2014-07-31,51,Vacances scolaires
2016-07-30,51,Vacances scolaires
2018-06-23,18,F�te nationale Luxembourg
2011-03-09,55,Vacances scolaires zone A
2019-01-02,53,Vacances scolaires
2017-08-15,10,Assomption
2012-07-17,51,Vacances scolaires
2009-04-28,59,Vacances scolaires zone B
2013-04-01,26,Lundi de P�ques
2009-01-02,53,Vacances scolaires
2013-08-01,19,F�te nationale Suisse
2019-12-08,21,Immac Concep
2010-04-07,59,Vacances scolaires zone B
2017-10-30,52,Vacances scolaires
2011-01-06,25,Epiphanie Espagne
2017-08-24,51,Vacances scolaires
2010-04-30,60,Vacances scolaires zone C
2014-07-21,17,F�te nationale Belgique
2009-07-11,51,Vacances scolaires
2015-10-23,52,Vacances scolaires
2009-04-25,60,Vacances scolaires zone C
2010-12-24,53,Vacances scolaires
2018-02-22,57,Vacances scolaires zone C
2013-10-22,52,Vacances scolaires
2013-08-14,51,Vacances scolaires
2009-07-28,51,Vacances scolaires
2019-07-31,51,Vacances scolaires
2013-01-04,53,Vacances scolaires
2014-10-24,52,Vacances scolaires
2015-10-22,52,Vacances scolaires
2009-06-07,8,F�te des m�res
2012-10-31,52,Vacances scolaires
2014-04-18,15,vendredi saint
2009-08-05,51,Vacances scolaires
2009-04-08,58,Vacances scolaires zone A
2016-04-18,58,Vacances scolaires zone A
2009-07-31,51,Vacances scolaires
2017-04-06,60,Vacances scolaires zone C
2012-07-16,51,Vacances scolaires
2016-10-28,52,Vacances scolaires
2012-07-08,51,Vacances scolaires
2019-08-22,51,Vacances scolaires
2016-02-15,55,Vacances scolaires zone A
2012-05-08,5,Victoire 1945
2012-04-14,60,Vacances scolaires zone C
2014-03-15,55,Vacances scolaires zone A
2015-03-08,56,Vacances scolaires zone B
2010-04-10,58,Vacances scolaires zone A
2012-02-13,55,Vacances scolaires zone A
2012-07-05,51,Vacances scolaires
2018-04-26,59,Vacances scolaires zone B
2013-08-16,51,Vacances scolaires
2016-07-25,51,Vacances scolaires
2016-10-25,52,Vacances scolaires
2011-05-29,8,F�te des m�res
2016-10-24,52,Vacances scolaires
2014-12-24,53,Vacances scolaires
2017-02-15,57,Vacances scolaires zone C
2015-02-26,56,Vacances scolaires zone B
2016-08-26,51,Vacances scolaires
2019-08-24,51,Vacances scolaires
2019-04-06,59,Vacances scolaires zone B
2015-04-11,58,Vacances scolaires zone A
2009-02-10,55,Vacances scolaires zone A
2011-07-15,51,Vacances scolaires
2010-04-19,58,Vacances scolaires zone A
2010-08-10,51,Vacances scolaires
2019-11-11,12,Armistice 1918
2011-03-06,55,Vacances scolaires zone A
2009-07-13,51,Vacances scolaires
2015-07-23,51,Vacances scolaires
2010-03-04,57,Vacances scolaires zone C
2014-03-12,55,Vacances scolaires zone A
2010-08-30,51,Vacances scolaires
2012-05-05,59,Vacances scolaires zone B
2012-07-14,9,F�te nationale
2011-08-06,51,Vacances scolaires
2014-10-28,52,Vacances scolaires
2019-01-05,53,Vacances scolaires
2019-05-08,5,Victoire 1945
2015-12-23,53,Vacances scolaires
2014-11-01,11,Toussaint
2015-10-26,52,Vacances scolaires
2018-01-03,53,Vacances scolaires
2019-08-11,51,Vacances scolaires
2014-02-26,57,Vacances scolaires zone C
2014-02-15,57,Vacances scolaires zone C
2010-08-01,19,F�te nationale Suisse
2017-01-01,53,Vacances scolaires
2012-11-05,52,Vacances scolaires
2015-02-28,57,Vacances scolaires zone C
2015-02-17,55,Vacances scolaires zone A
2010-07-10,51,Vacances scolaires
2016-04-16,59,Vacances scolaires zone B
2018-04-23,59,Vacances scolaires zone B
2014-05-29,3,Ascension
2010-12-06,23,F�te constitution Espagne
2018-10-29,52,Vacances scolaires
2010-07-27,51,Vacances scolaires
2013-04-23,58,Vacances scolaires zone A
2011-10-12,22,F�te nationale Espagne
2016-04-27,60,Vacances scolaires zone C
2017-04-18,58,Vacances scolaires zone A
2015-02-14,55,Vacances scolaires zone A
2018-06-17,7,F�te des p�res
2011-08-15,10,Assomption
2010-08-13,51,Vacances scolaires
2009-08-02,51,Vacances scolaires
2016-04-02,59,Vacances scolaires zone B
2016-07-18,51,Vacances scolaires
2014-08-01,19,F�te nationale Suisse
2015-04-14,58,Vacances scolaires zone A
2018-08-29,51,Vacances scolaires
2011-08-09,51,Vacances scolaires
2014-08-21,51,Vacances scolaires
2014-04-12,60,Vacances scolaires zone C
2009-12-21,53,Vacances scolaires
2019-04-08,59,Vacances scolaires zone B
2018-05-06,59,Vacances scolaires zone B
2018-08-03,51,Vacances scolaires
2012-03-07,56,Vacances scolaires zone B
2017-04-04,60,Vacances scolaires zone C
2017-08-27,51,Vacances scolaires
2018-12-23,53,Vacances scolaires
2018-02-17,55,Vacances scolaires zone A
2018-07-09,51,Vacances scolaires
2019-05-30,3,Ascension
2011-07-29,51,Vacances scolaires
2010-02-07,56,Vacances scolaires zone B
2013-02-20,56,Vacances scolaires zone B
2014-11-04,20,Anniv vic1erG Italie
2019-07-11,51,Vacances scolaires
2011-04-25,59,Vacances scolaires zone B
2019-02-25,55,Vacances scolaires zone A
2014-11-11,12,Armistice 1918
2016-07-10,51,Vacances scolaires
2015-04-25,60,Vacances scolaires zone C
2015-02-11,55,Vacances scolaires zone A
2011-08-03,51,Vacances scolaires
2010-12-29,53,Vacances scolaires
2014-08-20,51,Vacances scolaires
2010-12-27,53,Vacances scolaires
2011-04-17,60,Vacances scolaires zone C
2013-01-01,53,Vacances scolaires
2013-03-01,55,Vacances scolaires zone A
2017-09-03,51,Vacances scolaires
2015-07-17,51,Vacances scolaires
2014-12-21,53,Vacances scolaires
2016-08-27,51,Vacances scolaires
2010-05-24,6,Lundi de Pentec�te
2013-04-16,59,Vacances scolaires zone B
2018-12-26,53,Vacances scolaires
2016-12-25,13,No�l
2018-10-12,22,F�te nationale Espagne
2013-03-07,57,Vacances scolaires zone C
2011-04-12,60,Vacances scolaires zone C
2017-02-22,55,Vacances scolaires zone A
2009-08-31,51,Vacances scolaires
2010-02-27,57,Vacances scolaires zone C
2017-06-18,7,F�te des p�res
2014-08-09,51,Vacances scolaires
2018-08-09,51,Vacances scolaires
2009-02-19,57,Vacances scolaires zone C
2011-09-02,51,Vacances scolaires
2019-02-22,56,Vacances scolaires zone B
2013-05-04,60,Vacances scolaires zone C
2012-04-12,58,Vacances scolaires zone A
2015-03-04,56,Vacances scolaires zone B
2013-05-01,60,Vacances scolaires zone C
2010-12-30,53,Vacances scolaires
2014-05-03,58,Vacances scolaires zone A
2012-02-27,56,Vacances scolaires zone B
2019-07-27,51,Vacances scolaires
2019-06-23,18,F�te nationale Luxembourg
2019-05-05,60,Vacances scolaires zone C
2014-10-03,14,Jour unit� nationale Allemagne
2011-05-06,58,Vacances scolaires zone A
2015-01-02,53,Vacances scolaires
2012-03-02,56,Vacances scolaires zone B
2013-02-24,55,Vacances scolaires zone A
2012-04-25,59,Vacances scolaires zone B
2012-08-23,51,Vacances scolaires
2018-12-31,53,Vacances scolaires
2013-12-24,53,Vacances scolaires
2010-09-01,51,Vacances scolaires
2018-04-25,60,Vacances scolaires zone C
2012-03-04,56,Vacances scolaires zone B
2016-10-03,14,Jour unit� nationale Allemagne
2011-04-23,59,Vacances scolaires zone B
2011-02-23,56,Vacances scolaires zone B
2017-08-23,51,Vacances scolaires
2015-12-26,53,Vacances scolaires
2018-02-20,57,Vacances scolaires zone C
2016-02-27,57,Vacances scolaires zone C
2019-04-25,60,Vacances scolaires zone C
2015-08-15,51,Vacances scolaires
2009-04-10,15,vendredi saint
2010-07-29,51,Vacances scolaires
2009-04-29,59,Vacances scolaires zone B
2013-03-29,15,vendredi saint
2011-08-23,51,Vacances scolaires
2016-06-19,7,F�te des p�res
2012-02-28,57,Vacances scolaires zone C
2010-01-01,53,Vacances scolaires
2015-10-03,14,Jour unit� nationale Allemagne
2019-07-08,51,Vacances scolaires
2016-02-16,55,Vacances scolaires zone A
2009-02-13,55,Vacances scolaires zone A
2012-08-05,51,Vacances scolaires
2018-11-02,52,Vacances scolaires
2011-11-04,20,Anniv vic1erG Italie
2015-07-28,51,Vacances scolaires
2014-06-15,7,F�te des p�res
2014-12-20,53,Vacances scolaires
2013-02-26,55,Vacances scolaires zone A
2010-04-09,59,Vacances scolaires zone B
2015-02-27,57,Vacances scolaires zone C
2016-04-15,58,Vacances scolaires zone A
2013-04-24,59,Vacances scolaires zone B
2009-04-22,60,Vacances scolaires zone C
2017-02-18,57,Vacances scolaires zone C
2017-04-03,60,Vacances scolaires zone C
2012-07-30,51,Vacances scolaires
2017-02-26,56,Vacances scolaires zone B
2012-02-15,55,Vacances scolaires zone A
2014-04-30,58,Vacances scolaires zone A
2015-05-14,3,Ascension
2010-07-02,51,Vacances scolaires
2010-06-20,7,F�te des p�res
2015-02-10,55,Vacances scolaires zone A
2018-08-28,51,Vacances scolaires
2019-08-13,51,Vacances scolaires
2016-02-17,56,Vacances scolaires zone B
2015-12-25,53,Vacances scolaires
2015-05-09,59,Vacances scolaires zone B
2019-03-07,57,Vacances scolaires zone C
2009-02-08,55,Vacances scolaires zone A
2019-02-12,56,Vacances scolaires zone B
2016-08-01,19,F�te nationale Suisse
2018-08-05,51,Vacances scolaires
2011-10-23,52,Vacances scolaires
2016-01-01,1,Nouvel An
2010-04-12,59,Vacances scolaires zone B
2011-02-20,56,Vacances scolaires zone B
2017-12-31,53,Vacances scolaires
2019-08-29,51,Vacances scolaires
2017-04-15,58,Vacances scolaires zone A
2009-02-22,57,Vacances scolaires zone C
2012-03-01,56,Vacances scolaires zone B
2019-04-27,58,Vacances scolaires zone A
2013-07-26,51,Vacances scolaires
2012-07-21,51,Vacances scolaires
2017-04-09,59,Vacances scolaires zone B
2016-03-04,57,Vacances scolaires zone C
2012-05-28,6,Lundi de Pentec�te
2011-04-29,58,Vacances scolaires zone A
2018-08-26,51,Vacances scolaires
2013-03-10,55,Vacances scolaires zone A
2019-06-16,7,F�te des p�res
2019-02-24,55,Vacances scolaires zone A
2012-04-19,60,Vacances scolaires zone C
2016-07-21,51,Vacances scolaires
2018-03-03,57,Vacances scolaires zone C
2009-03-07,56,Vacances scolaires zone B
2013-04-30,60,Vacances scolaires zone C
2009-02-21,57,Vacances scolaires zone C
2019-02-19,56,Vacances scolaires zone B
2018-07-14,51,Vacances scolaires
2009-05-01,59,Vacances scolaires zone B
2009-12-22,53,Vacances scolaires
2018-12-27,53,Vacances scolaires
2019-08-21,51,Vacances scolaires
2019-03-02,57,Vacances scolaires zone C
2014-08-15,51,Vacances scolaires
2017-11-04,52,Vacances scolaires
2014-07-17,51,Vacances scolaires
2012-07-13,51,Vacances scolaires
2016-04-21,58,Vacances scolaires zone A
2009-05-21,3,Ascension
2011-08-27,51,Vacances scolaires
2019-11-01,11,Toussaint
2015-05-31,8,F�te des m�res
2014-12-26,53,Vacances scolaires
2010-07-06,51,Vacances scolaires
2012-03-05,56,Vacances scolaires zone B
2016-04-29,60,Vacances scolaires zone C
2010-10-12,22,F�te nationale Espagne
2017-02-23,56,Vacances scolaires zone B
2010-07-09,51,Vacances scolaires
2018-05-01,4,F�te du travail
2012-04-28,59,Vacances scolaires zone B
2012-08-22,51,Vacances scolaires
2016-04-19,58,Vacances scolaires zone A
2010-04-21,58,Vacances scolaires zone A
2009-10-29,52,Vacances scolaires
2010-08-03,51,Vacances scolaires
2010-11-01,52,Vacances scolaires
2010-08-23,51,Vacances scolaires
2011-12-31,53,Vacances scolaires
2010-08-09,51,Vacances scolaires
2015-08-31,51,Vacances scolaires
2011-07-20,51,Vacances scolaires
2014-02-20,57,Vacances scolaires zone C
2019-04-16,59,Vacances scolaires zone B
2015-08-17,51,Vacances scolaires
2015-04-17,58,Vacances scolaires zone A
2012-04-16,60,Vacances scolaires zone C
2009-06-01,6,Lundi de Pentec�te
2016-02-13,55,Vacances scolaires zone A
2011-04-26,58,Vacances scolaires zone A
2016-04-23,58,Vacances scolaires zone A
2012-12-25,53,Vacances scolaires
2010-03-21,56,Vacances scolaires zone B
2011-10-03,14,Jour unit� nationale Allemagne
2018-07-21,17,F�te nationale Belgique
2013-08-15,10,Assomption
2009-02-25,56,Vacances scolaires zone B
2013-11-01,11,Toussaint
2009-10-03,14,Jour unit� nationale Allemagne
2011-12-29,53,Vacances scolaires
2014-03-14,55,Vacances scolaires zone A
2012-04-08,2,P�ques
2009-04-16,58,Vacances scolaires zone A
2011-12-20,53,Vacances scolaires
2017-04-23,59,Vacances scolaires zone B
2016-08-02,51,Vacances scolaires
2017-02-21,55,Vacances scolaires zone A
2018-02-14,55,Vacances scolaires zone A
2011-02-17,57,Vacances scolaires zone C
2019-04-24,58,Vacances scolaires zone A
2010-05-01,60,Vacances scolaires zone C
2016-07-06,51,Vacances scolaires
2016-08-10,51,Vacances scolaires
2013-11-04,20,Anniv vic1erG Italie
2013-07-11,51,Vacances scolaires
2019-07-22,51,Vacances scolaires
2019-04-29,60,Vacances scolaires zone C
2011-04-20,60,Vacances scolaires zone C
2013-04-26,59,Vacances scolaires zone B
2009-04-20,60,Vacances scolaires zone C
2015-08-02,51,Vacances scolaires
2017-02-09,57,Vacances scolaires zone C
2019-02-23,56,Vacances scolaires zone B
2014-03-09,56,Vacances scolaires zone B
2013-05-12,60,Vacances scolaires zone C
2009-07-27,51,Vacances scolaires
2013-03-13,57,Vacances scolaires zone C
2015-04-20,58,Vacances scolaires zone A
2019-04-28,60,Vacances scolaires zone C
2010-04-24,58,Vacances scolaires zone A
2014-10-21,52,Vacances scolaires
2014-07-06,51,Vacances scolaires
2019-08-30,51,Vacances scolaires
2017-05-01,4,F�te du travail
2009-03-04,56,Vacances scolaires zone B
2019-01-04,53,Vacances scolaires
2010-04-04,59,Vacances scolaires zone B
2018-04-14,58,Vacances scolaires zone A
2014-07-15,51,Vacances scolaires
2012-07-25,51,Vacances scolaires
2016-11-02,52,Vacances scolaires
2016-12-28,53,Vacances scolaires
2010-10-24,52,Vacances scolaires
2015-07-16,51,Vacances scolaires
2013-12-29,53,Vacances scolaires
2015-12-24,53,Vacances scolaires
2013-05-07,60,Vacances scolaires zone C
2018-10-22,52,Vacances scolaires
2017-08-15,51,Vacances scolaires
2019-08-05,51,Vacances scolaires
2009-03-06,56,Vacances scolaires zone B
2018-08-10,51,Vacances scolaires
